CV,ID Servicio RJ,OLT (HUB),CPE IPv4 LAN NET,CPE IPv4 WAN1 NET
2048,G-PP035,EL SALTO,10.195.0.0,172.26.140.0
3240,G-C5RB002,EL SALTO,10.195.1.0,172.26.140.4
3272,G-C5RB034,EL SALTO,10.195.2.0,172.26.140.8
3311,G-C5RB073,EL SALTO,10.195.3.0,172.26.140.12
3661,G-C5-PMI-662,EL SALTO,10.195.4.0,172.26.140.16
3662,G-C5-PMI-667,EL SALTO,10.195.5.0,172.26.140.20
3663,G-C5-PMI-668,EL SALTO,10.195.6.0,172.26.140.24
3807,G-C5-PMI-903,EL SALTO,10.195.7.0,172.26.140.28
3808,G-C5-PMI-904,EL SALTO,10.195.8.0,172.26.140.32
3809,G-C5-PMI-905,EL SALTO,10.195.9.0,172.26.140.36